[2026-06-03 14:10:56.200900] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 14:11:12.354386] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 14:11:33.133215] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 14:17:25.892527] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:20:33.759042] API CALL -> sucursal_id: Heroinas, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:20:35.668597] API CALL -> sucursal_id: Recoleta, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:20:37.693289] API CALL -> sucursal_id: Calacoto, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:24:13.091823] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: this_month
[2026-06-03 14:24:49.925260] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:30:42.108050] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:31:03.606166] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: this_month
[2026-06-03 14:32:40.807554] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 14:33:00.948857] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 14:37:17.494092] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:52:16.828980] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:52:21.520108] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 14:52:42.103024] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 14:59:30.318058] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 15:43:23.628294] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 15:43:44.120983] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 15:44:13.673539] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 15:44:14.100915] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 15:44:18.314441] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 15:44:26.556783] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
